keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,geonames,latitude,longitude,geotype,country,ipcc,gnd
'Émirats arabes unis',fr,United Arab Emirates,#4958ea,#4958ea,2,0.10010383182,ASIA,290557,23.75,54.5,A,United Arab Emirates,ARP,4062742-1
'Abou Dhabi',fr,United Arab Emirates,#4b5aeb,#4b5aeb,2,0.10010383182,ASIA,292968,24.45118,54.39696,P,United Arab Emirates,ARP,4000287-1
'Budapest',fr,Hungary,#7acaf0,#7acaf0,2,0.100102366876,EUROPE,3054643,47.49835,19.04045,P,Hungary,WCE,4008684-7
'Hongrie',fr,Hungary,#79c8f0,#79c8f0,2,0.100102366876,EUROPE,719819,47.0,20.0,A,Hungary,WCE,4078541-5
'Amman',fr,Jordan,#5a95ec,#5a95ec,2,0.100100441834,EUROPE-AFRICA,250441,31.95522,35.94503,P,Jordan,MED,4192430-7
'Stockholm',fr,Sweden,#92d5f2,#92d5f2,2,0.1000982012,EUROPE,2673730,59.32938,18.06871,P,Suède,NEU,4425212-2
'Bakou',fr,Azerbaijan,#6b81ee,#6b81ee,2,0.100097800467,ASIA,587084,40.37767,49.89201,P,Azerbaijan,WCA,4080246-2
'Azerbaïdjan',fr,Azerbaijan,#6c87ee,#6c87ee,2,0.100097800467,ASIA,587116,40.5,47.5,A,Azerbaijan,WCA,1023252-7
'Portugal',fr,Portugal,#6aeedc,#6aeedc,2,0.100097259594,EUROPE-AFRICA,2264397,39.6945,-8.13057,A,Portugal,MED,4046843-4
'Lisbonne',fr,Portugal,#68eed9,#68eed9,2,0.100097259594,EUROPE-AFRICA,2267057,38.71667,-9.13333,P,Portugal,MED,4035919-0
'Tchéquie',fr,Czechia,#7ed4f0,#7ed4f0,2,0.100094111491,EUROPE,3077311,49.75,15.0,A,Czechia,WCE,4303381-7
'Prague',fr,Czechia,#7fd5f0,#7fd5f0,2,0.100094111491,EUROPE,3067696,50.08804,14.42076,P,Czechia,WCE,4076310-9
'République dominicaine',fr,Dominican Republic,#5ee940,#5ee940,2,0.100094098473,CENTRAL-AMERICA,3508796,19.0,-70.66667,A,Dominican Republic,CAR,4012694-8
'Saint-Domingue',fr,Dominican Republic,#5be93f,#5be93f,2,0.100094098473,CENTRAL-AMERICA,3492908,18.47186,-69.89232,P,République dominicaine,CAR,4118416-6
'Athènes',fr,Greece,#66b8ee,#66b8ee,2,0.100093216904,EUROPE-AFRICA,264371,37.98376,23.72784,P,Greece,MED,4003366-1
'Grèce',fr,Greece,#69bdee,#69bdee,2,0.100093216904,EUROPE-AFRICA,390903,39.0,22.0,A,Greece,MED,4022047-3
'Serbie et Monténégro',fr,Serbia and Montenegro,#74c5ef,#74c5ef,2,0.100092343138,EUROPE-AFRICA,8505033,44.8174,20.46341,A,Serbia,MED,4692332-9
'Belgrade',fr,Serbia and Montenegro,#74c5ef,#74c5ef,2,0.100092343138,EUROPE-AFRICA,792680,44.80401,20.46513,P,Serbia,MED,4005411-1
'Burundi',fr,Burundi,#187bde,#187bde,2,0.100089482432,AFRICA,433561,-3.5,30.0,A,Burundi,SEAF,4009181-8
'Gitega',fr,Burundi,#187bde,#187bde,2,0.100089482432,AFRICA,426272,-3.42708,29.92463,P,Burundi,SEAF,4806037-9
'Cuba',fr,Cuba,#7bea46,#7bea46,2,0.100088197903,CENTRAL-AMERICA,3562981,22.0,-79.5,A,Cuba,CAR,4033340-1
'La Havane',fr,Cuba,#85ea48,#85ea48,2,0.100088197903,CENTRAL-AMERICA,3553478,23.13302,-82.38304,P,Cuba,CAR,4023865-9
'Sucre',fr,Bolivia,#24be15,#24be15,2,0.100088081343,SOUTH-AMERICA,3903987,-19.03332,-65.26274,P,Bolivia,SAM,4118870-6
'Bolivie',fr,Bolivia,#24c215,#24c215,2,0.100088081343,SOUTH-AMERICA,3923057,-17.0,-65.0,A,Bolivia,SAM,4555905-3
'Belgique',fr,Belgium,#81e8f1,#81e8f1,2,0.10008754982,EUROPE,2802361,50.75,4.5,A,Belgium,WCE,4005406-8
'Porto Novo',fr,Benin,#26dee6,#26dee6,2,0.100087069728,AFRICA,2392087,6.49646,2.60359,P,Benin,WAF,4116069-1
'Bénin',fr,Benin,#2ce0e7,#2ce0e7,2,0.100087069728,AFRICA,2395170,9.5,2.25,A,Benin,WAF,4005503-6
'Tunisie',fr,Tunisia,#5ed7ed,#5ed7ed,2,0.100086466266,EUROPE-AFRICA,2464461,34.0,9.0,A,Tunisia,MED,4061206-5
'Rwanda',fr,Rwanda,#197de1,#197de1,2,0.100081287999,AFRICA,49518,-2.0,30.0,A,Rwanda,SEAF,4076910-0
'Kigali',fr,Rwanda,#197de1,#197de1,2,0.100081287999,AFRICA,202061,-1.94995,30.05885,P,Rwanda,SEAF,4495092-5
'Conakry',fr,Guinea,#2ce7bd,#2ce7bd,2,0.10008055215,AFRICA,2422465,9.53795,-13.67729,P,Guinea,WAF,4598760-9
'Guinée',fr,Guinea,#2fe7c7,#2fe7c7,2,0.10008055215,AFRICA,2420477,10.83333,-10.66667,A,Guinea,WAF,4022520-3
'Somalie',fr,Somalia,#254ce6,#254ce6,2,0.100066630446,AFRICA,51537,6.0,48.0,A,Somalia,NEAF,4077509-4
'Mogadiscio',fr,Somalia,#1d4ee5,#1d4ee5,2,0.100066630446,AFRICA,53654,2.03711,45.34375,P,Somalia,SEAF,4210605-9
'N'Djaména',fr,Chad,#32bae8,#32bae8,2,0.10006460887,AFRICA,2427123,12.10672,15.0444,P,Chad,CAF,4458502-0
'Tchad',fr,Chad,#38b0e8,#38b0e8,2,0.10006460887,AFRICA,2434508,15.0,19.0,A,Chad,SAH,4061074-3
'Dakar',fr,Senegal,#37e8b5,#37e8b5,2,0.100063074132,AFRICA,2253354,14.6937,-17.44406,P,Senegal,WAF,4010921-5
'Sénégal',fr,Senegal,#37e8be,#37e8be,2,0.100063074132,AFRICA,2245662,14.5,-14.25,A,Senegal,WAF,4054529-5
'Cambodge',fr,Cambodia,#bb34e8,#bb34e8,2,0.100061539227,ASIA,1831722,13.0,105.0,A,Cambodia,SEA,4029400-6
'Phnom Penh',fr,Cambodia,#ba31e8,#ba31e8,2,0.100061539227,ASIA,1821306,11.56245,104.91601,P,Cambodia,SEA,4045819-2
'Harare',fr,Zimbabwe,#1568c1,#1568c1,2,0.100059282414,AFRICA,890299,-17.82772,31.05337,P,Zimbabwe,ESAF,1029061-8
'Zimbabwe',fr,Zimbabwe,#156abe,#156abe,2,0.100059282414,AFRICA,878675,-19.0,29.75,A,Zimbabwe,ESAF,4049850-5
'Syrie',fr,Syria,#6094ed,#6094ed,2,0.100059149607,EUROPE-AFRICA,163843,35.0,38.0,A,Syria,MED,4058794-0
'Damas',fr,Syria,#5d96ed,#5d96ed,2,0.100059149607,EUROPE-AFRICA,170654,33.5102,36.29128,P,Syria,MED,4010956-2
'Équateur',fr,Ecuador,#56e219,#56e219,2,0.100058533078,SOUTH-AMERICA,3658394,-1.25,-78.25,A,Ecuador,NWS,4129321-6
'Quito',fr,Ecuador,#58e519,#58e519,2,0.100058533078,SOUTH-AMERICA,3652462,-0.22985,-78.52495,P,Ecuador,NWS,4116883-5
'Amsterdam',fr,The Netherlands,#84e8f1,#84e8f1,2,0.10005803488,EUROPE,2759794,52.37403,4.88969,P,The Netherlands,NEU,4001783-7
'Les Pays-Bas',fr,The Netherlands,#93ef75,#93ef75,2,0.10005803488,NORTH-AMERICA,5107971,45.0006,-74.83325,T,United States,ENA,
'Zambie',fr,Zambia,#1673c8,#1673c8,2,0.100057630836,AFRICA,895949,-14.33333,28.5,A,Zambia,ESAF,4076986-0
'Lusaka',fr,Zambia,#1673c6,#1673c6,2,0.100057630836,AFRICA,909137,-15.40669,28.28713,P,Zambia,ESAF,4036697-2
'Lilongwe',fr,Malawi,#1664c9,#1664c9,2,0.100056935453,AFRICA,927967,-13.96692,33.78725,P,Malawi,ESAF,4111306-8
'Malawi',fr,Malawi,#1664c9,#1664c9,2,0.100056935453,AFRICA,927384,-13.5,34.0,A,Malawi,ESAF,4074495-4
'Chili',fr,Chile,#2ea812,#2ea812,2,0.100053392678,SOUTH-AMERICA,3895114,-30.0,-71.0,A,Chile,SWS,4009929-5
'Saint-Jacques',fr,Chile,#91ef75,#91ef75,2,0.100053392678,NORTH-AMERICA,6138419,45.28338,-73.41587,P,Canada,ENA,7549523-5
'Mali',fr,Mali,#3ee9e3,#3ee9e3,2,0.100052417248,AFRICA,2453866,18.0,-2.0,A,Mali,SAH,4074505-3
'Bucarest',fr,Romania,#74b9ef,#74b9ef,2,0.100051350687,EUROPE-AFRICA,683506,44.43225,26.10626,P,Romania,MED,4008858-3
'Roumanie',fr,Romania,#77bdef,#77bdef,2,0.100051350687,EUROPE,798549,46.0,25.0,A,Romania,WCE,4050939-4
'Burkina Faso',fr,Burkina Faso,#32e8e3,#32e8e3,2,0.100050628976,AFRICA,2361809,12.5,-1.66667,A,Burkina Faso,WAF,15612-7
'Ouagadougou',fr,Burkina Faso,#32e8e3,#32e8e3,2,0.100050628976,AFRICA,2357048,12.36566,-1.53388,P,Burkina Faso,WAF,4044209-3
'Colombo',fr,Sri Lanka,#6627e7,#6627e7,2,0.100046146747,INDIAN,1248991,6.93548,79.84868,P,Sri Lanka,EIO,4010404-7
'Sri Lanka',fr,Sri Lanka,#6a29e7,#6a29e7,2,0.100046146747,INDIAN,1227603,7.75,80.75,A,Sri Lanka,BOB,4009696-8
'Niamey',fr,Niger,#35e2e8,#35e2e8,2,0.100044557426,AFRICA,2440485,13.51366,2.1098,P,Niger,WAF,4294467-3
'Niger',fr,Niger,#3ecfe9,#3ecfe9,2,0.100044557426,AFRICA,2440476,18.0,9.0,A,Niger,SAH,4042298-7
'Taïwan',fr,Taiwan,#ea4ae8,#ea4ae8,2,0.100042640583,ASIA,1668284,24.0,121.0,A,Taiwan,EAS,4017875-4
'Taïpei',fr,Taiwan,#eb4ce7,#eb4ce7,2,0.100042640583,ASIA,1668341,25.05306,121.52639,P,Taiwan,EAS,4078134-3
'Canberra',fr,Australia,#9d1159,#9d1159,2,0.100040012213,OCEANIA,2172517,-35.28346,149.12807,P,Australia,SAU,4085133-3
'Côte d'Ivoire',fr,Ivory Coast,#29e7d5,#29e7d5,2,0.100039889539,AFRICA,2287781,8.0,-5.5,A,Ivory Coast,WAF,4014426-4
'Yamoussoukro',fr,Ivory Coast,#27e7d6,#27e7d6,2,0.100039889539,AFRICA,2279755,6.82055,-5.27674,P,Ivory Coast,WAF,4430797-4
'Cameroun',fr,Cameroon,#25bee6,#25bee6,2,0.100039656988,AFRICA,2233387,6.0,12.5,A,Cameroon,CAF,4029413-4
'Yaoundé',fr,Cameroon,#21c0e6,#21c0e6,2,0.100039656988,AFRICA,2220957,3.86667,11.51667,P,Cameroon,CAF,4119193-6
'Corée du Nord',fr,North Korea,#ee6bdf,#ee6bdf,2,0.100039139221,ASIA,1873107,40.0,127.0,A,North Korea,EAS,4075468-6
'Pyongyang',fr,North Korea,#ee69e1,#ee69e1,2,0.100039139221,ASIA,1871859,39.03385,125.75432,P,North Korea,EAS,4285178-6
'Madagascar',fr,Madagascar,#1439bc,#1439bc,2,0.100038077298,AFRICA,1062947,-20.0,47.0,A,Madagascar,MDG,4074425-5
'Antananarivo',fr,Madagascar,#1538be,#1538be,2,0.100038077298,AFRICA,1070940,-18.91368,47.53613,P,Madagascar,MDG,4212652-6
'Katmandou',fr,Nepal,#9252eb,#9252eb,2,0.100035602556,ASIA,1283240,27.70169,85.3206,P,Nepal,TIB,4030036-5
